FID,ASA,CTEXP,eTH,eU,KPERC,MAGIGRF,MDT,ThetaMap,THKRAZAO,UKRAZAO,UTHRAZAO,X,Y,Cod_Litho,Geologia_R,INDICELATE
33122,0.016089431,9.5167,25.7689,2.6231,0.2708,-3.629,876.259,0.708592243,129.0076,8.4576,0.0655,324778.0,7950384.2,2,Depósitos detríticos indiferenciados,1.5697114350064583
33123,0.016295203,9.5948,25.6186,2.7594,0.2922,-3.642,876.016,0.709546083,129.7204,8.4454,0.065,324778.0,7950391.8,2,Depósitos detríticos indiferenciados,1.569588540327554
33124,0.016912521,9.6729,25.4683,2.8957,0.3136,-3.7,875.773,0.712262535,130.4332,8.4332,0.0645,324778.0,7950399.4,2,Depósitos detríticos indiferenciados,1.569462810498088
33125,0.01789988,9.751,25.318,3.032,0.335,-3.763,875.53,0.667164651,131.146,8.421,0.064,324778.0,7950407.0,2,Depósitos detríticos indiferenciados,1.569334382879184
33126,0.018617959,9.7562,25.6301,2.8929,0.3393,-3.822,875.319,0.635902433,131.5999,8.4057,0.0637,324778.0,7950414.7,2,Depósitos detríticos indiferenciados,1.569243640755574
33127,0.018976999,9.7614,25.9422,2.7538,0.3436,-3.864,875.108,0.620691461,132.0538,8.3904,0.0634,324778.0,7950422.4,2,Depósitos detríticos indiferenciados,1.5691437307228382
33128,0.019605318,9.7666,26.2543,2.6147,0.3479,-3.964,874.897,0.594668417,132.5077,8.3751,0.0631,324778.0,7950430.1,2,Depósitos detríticos indiferenciados,1.5690331896416116
33129,0.020323397,9.7718,26.5664,2.4756,0.3522,-4.066,874.686,0.565744525,132.9616,8.3598,0.0628,324778.0,7950437.8,2,Depósitos detríticos indiferenciados,1.568910225527524
33130,0.020682437,9.777,26.8785,2.3365,0.3565,-4.116,874.475,0.551566698,133.4155,8.3445,0.0625,324778.0,7950445.5,2,Depósitos detríticos indiferenciados,1.5687726196657636
33131,0.022028835,9.7822,27.1906,2.1974,0.3608,-4.33,874.264,0.49974757,133.8694,8.3292,0.0622,324778.0,7950453.2,2,Depósitos detríticos indiferenciados,1.5686175915479836
33132,0.022387875,9.7874,27.5027,2.0583,0.3651,-4.396,874.053,0.486213667,134.3233,8.3139,0.0619,324778.0,7950460.9,2,Depósitos detríticos indiferenciados,1.56844160904455
33133,0.023105954,9.7926,27.8148,1.9192,0.3694,-4.547,873.842,0.459394448,134.7772,8.2986,0.0616,324778.0,7950468.6,2,Depósitos detríticos indiferenciados,1.5682401160279593
33134,0.023734273,9.7978,28.1269,1.7801,0.3737,-4.716,873.631,0.436111535,135.2311,8.2833,0.0613,324778.0,7950476.3,2,Depósitos detríticos indiferenciados,1.568007132294832
33135,0.024811392,9.803,28.439,1.641,0.378,-4.989,873.42,0.396306162,135.685,8.268,0.061,324778.0,7950484.0,2,Depósitos detríticos indiferenciados,1.5677346500156848
33136,0.025529472,9.8364,28.6232,1.7168,0.3322,-5.195,873.158,0.369614083,135.96,8.2706,0.0609,324778.0,7950491.7,2,Depósitos detríticos indiferenciados,1.5685505807868785
33137,0.025798751,9.8698,28.8074,1.7926,0.2864,-5.308,872.896,0.359525658,136.235,8.2732,0.0608,324778.0,7950499.4,2,Depósitos detríticos indiferenciados,1.5692079329080104
33138,0.02639158,9.9032,28.9916,1.8684,0.2406,-5.425,872.634,0.404814628,136.51,8.2758,0.0607,324778.0,7950507.1,2,Depósitos detríticos indiferenciados,1.569727643457559
